Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mandracchia, Biagio; Gennari, Oriella; Bramanti, Alessia; Grilli, Simonetta; Ferraro, Pietro; ",Label‐free quantification of the effects of lithium niobate polarization on cell adhesion via holographic microscopy,Journal of Biophotonics,11,8,e201700332,2018,WILEY‐VCH Verlag GmbH & Co. KGaA Weinheim
"Mandracchia, Biagio; Palpacuer, Julie; Nazzaro, Filomena; Bianco, Vittorio; Rega, Romina; Ferraro, Pietro; Grilli, Simonetta; ",Biospeckle decorrelation quantifies the performance of alginate-encapsulated probiotic bacteria,IEEE Journal of Selected Topics in Quantum Electronics,25,1,1-6,2018,IEEE
"Mandracchia, B; Bianco, V; Paturzo, M; Ferraro, P; ",Optofluidic Microscopy by Wavefront Division Holographic Interferometer On Chip,Applications of Lasers for Sensing and Free Space Communications,,,JM4A. 1,2018,Optica Publishing Group
"Mandracchia, Biagio; Wang, Zhe; Ferraro, Vincenzo; Di Maio, Ernesto; Maffettone, Pier Luca; Ferraro, Pietro; ",Holographic phase imaging for full-field thickness mapping of evolving thin liquid films,Digital Holography and Three-Dimensional Imaging,,,DW5F. 4,2018,Optica Publishing Group
"Mandracchia, B; Bianco, V; Paturzo, M; Ferraro, P; ",Compact Solutions for Off-axis Holography in Optofluidics,Digital Holography and Three-Dimensional Imaging,,,DW5F. 1,2018,Optica Publishing Group
"Paturzo, M; Merola, F; Bianco, V; Memmolo, P; Miccio, L; Mandracchia, B; Ferraro, P; ",Detection and sorting of microplastics in marine environment by new imaging tools,Speckle 2018: VII International Conference on Speckle Metrology,10834,,186-190,2018,SPIE
"Mandracchia, B; Bianco, V; Wang, Z; Paturzo, M; Ferraro, P; ",Wavefront division off-axis digital holography microscopy on chip,Speckle 2018: VII International Conference on Speckle Metrology,10834,,398-401,2018,SPIE
"Mandracchia, Biagio; Wang, Zhe; Ferraro, Vincenzo; Villone, Massimiliano Maria; Di Maio, Ernesto; Maffettone, Pier Luca; Ferraro, Pietro; ",Quantitative imaging of the complexity in liquid bubbles’ evolution reveals the dynamics of film retraction,Light: Science & Applications,8,1,20,2019,Nature Publishing Group UK London
"Wang, Zhe; Mandracchia, Biagio; Ferraro, Pietro; Ferraro, Vincenzo; Di Maio, Ernesto; Maffettone, Pier Luca; Chen, Wei-Chung; Fried, Eliot; ",Fast and Accurate Thickness Mapping of Liquid Bubbles and Thin Protein Films,"2018 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)",,,1-5,2018,IEEE
"Merola, F; Mandracchia, B; Miccio, L; Memmolo, P; Bianco, V; Mugnano, M; Maffettone, PL; Villone, M; Di Maio, E; Ferraro, V; ",Recent advancements and perspective about digital holography: A super-tool in biomedical and bioengineering fields,"Advancement of Optical Methods & Digital Image Correlation in Experimental Mechanics, Volume 3: Proceedings of the 2018 Annual Conference on Experimental and Applied Mechanics",,,235-241,2018,Springer International Publishing Cham
"Bianco, V; Cacace, T; Mandracchia, B; Pagliarulo, V; Paturzo, M; Ferraro, P; ",Compact modules for off-axis holography in microfluidics: features and design solutions,Optics and Biophotonics in Low-Resource Settings V,10869,,34-39,2019,SPIE
"Bianco, Vittorio; Miccio, Lisa; Memmolo, Pasquale; Merola, Francesco; Mandracchia, Biagio; Cacace, Teresa; Mugnano, Martina; Paturzo, Melania; Villone, M; Maffettone, PL; ",3D imaging in microfluidics: new holographic methods and devices,"Microfluidics, BioMEMS, and Medical Microsystems XVII",10875,,155-161,2019,SPIE
"Mandracchia, B; Nazzaro, F; Bianco, V; Rega, R; Ferraro, P; Grilli, S; ",Assessment of bacteria microencapsulation performance through bio-speckle dynamic analysis,Label-free Biomedical Imaging and Sensing (LBIS) 2019,10890,,80-85,2019,SPIE
"Mandracchia, Biagio; Hua, Xuanwen; Guo, Changliang; Jia, Shu; ",Automatic correction of pixel-dependent noise: Towards the ideal sCMOS camera,Novel Techniques in Microscopy,,,JW4C. 8,2019,Optica Publishing Group
"Son, Jeonghwan; Mandracchia, Biagio; Caponegro, Michael D; Tsirka, Styliani-Anna E; Jia, Shu; ",The gradient and frequency-wise analysis improves wide-field imaging in miniaturized one-photon microscopy,Optics and the Brain,,,JT4A. 21,2019,Optica Publishing Group
"Miccio, Lisa; Behal, Jaromir; Mugnano, Martina; Grilli, Simonetta; Mandracchia, Biagio; Merola, Francesco; Memmolo, Pasquale; Ferraro, Pietro; ",Bio-Lithography by RBC-lenses: DH Wavefront evaluation of imprinted structures in Lithium Niobate,Digital Holography and Three-Dimensional Imaging,,,Th1B. 3,2019,Optica Publishing Group
"Ferraro, Vincenzo; Wang, Zhe; Mandracchia, Biagio; di Maio, Ernesto; Maffettone, Pier Luca; Ferraro, Pietro; ",3D thin liquid films full-field measurement,Digital Holography and Three-Dimensional Imaging,,,W1B. 4,2019,Optica Publishing Group
"Wang, Zhe; Mandrachia, Biagio; Ferraro, Vincenzo; Di Maio, Ernesto; Maffettone, Pier Luca; Jiang, Zhuqing; Ferraro, Pietro; ",Thin-film drainage study based on holographic 3D particle tracking,Imaging Systems and Applications,,,JM4A. 25,2018,Optica Publishing Group
"Wang, Zhe; Mandrachia, Biagio; Bianco, Vittorio; Memmolo, Pasquale; Jiang, Zhuqing; Ferraro, Pietro; ",Holographic 3D particle tracking based on numerical diffraction propagation and correlation recognition,Propagation Through and Characterization of Atmospheric and Oceanic Phenomena,,,JM4A. 21,2018,Optica Publishing Group
"Son, Jeonghwan; Mandracchia, Biagio; Caponegro, Michael D; Tsirka, Stella E; Jia, Shu; ",BSSE: An open-source image processing tool for miniaturized microscopy,Optics Express,27,13,17620-17637,2019,Optica Publishing Group
"Ferraro, Vincenzo; Wang, Zhe; Mandracchia, Biagio; Di Maio, Ernesto; Maffettone, Pier Luca; Ferraro, Pietro; ",Holographic Imaging for 3D Visualization and Metrology of Liquid Bubbles,Imaging Systems and Applications,,,ITu2B. 1,2019,Optica Publishing Group
"Bianco, V; Mandracchia, B; Nazzaro, F; Rega, R; Ferraro, P; Grilli, S; ",Detection of self-propelling bacteria by speckle correlation assessment and applications to food industry,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials IV",11060,,1106007,2019,SPIE
"Wang, Zhe; Ferraro, Vincenzo; Mandracchia, Biagio; Di Maio, Ernesto; Maffettone, Pier Luca; Ferraro, Pietro; ",Fast and Accurate Thickness Mapping of Thin Liquid Films,EPJ Web of Conferences,215,,12002,2019,EDP Sciences
"Miccio, Lisa; Behal, Jaromir; Mugnano, Martina; Grilli, Simonetta; Mandracchia, Biagio; Merola, Francesco; Memmolo, Pasquale; Ferraro, Pietro; ",Writing in Photorefractive crystals by bio-lenses,2019 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),,,1-1,2019,IEEE
"Miccio, Lisa; Behal, Jaromir; Mugnano, Martina; Memmolo, Pasquale; Mandracchia, Biagio; Merola, Francesco; Grilli, Simonetta; Ferraro, Pietro; ",Biological lenses as a photomask for writing laser spots into ferroelectric crystals,ACS Applied Bio Materials,2,11,4675-4680,2019,American Chemical Society
"Mandracchia, Biagio; Hua, Xuanwen; Guo, Changliang; Son, Jeonghwan; Urner, Tara; Jia, Shu; ",Fast and accurate sCMOS noise correction for fluorescence microscopy,Nature communications,11,1,94,2020,Nature Publishing Group UK London
"Cacace, Teresa; Bianco, Vittorio; Mandracchia, Biagio; Pagliarulo, Vito; Oleandro, Emilia; Paturzo, Melania; Ferraro, Pietro; ",Compact off-axis holographic slide microscope: design guidelines,Biomedical Optics Express,11,5,2511-2532,2020,Optica Publishing Group
"Bianco, Vittorio; Cacace, Teresa; Mandracchia, Biagio; Pagliarulo, Vito; Oleandro, Emilia; Paturzo, Melania; Ferraro, Pietro; ","Field-deployable, cost-effective holographic slide microscope: a 3D-printed prototype",Digital Holography and Three-Dimensional Imaging,,,HW3C. 2,2020,Optica Publishing Group
"Bianco, Vittorio; Mandracchia, Biagio; Běhal, Jaromír; Barone, Dario; Memmolo, Pasquale; Ferraro, Pietro; ",Miscalibration-tolerant Fourier ptychography,IEEE Journal of Selected Topics in Quantum Electronics,27,4,1-17,2020,IEEE
"Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu; ",Miniaturized modular-array fluorescence microscopy,Biomedical Optics Express,11,12,7221-7235,2020,Optica Publishing Group
"Mandracchia, Biagio; Son, Jeonghwan; Jia, Shu; ",Sub-diffraction-limit Optofluidic Imaging,Frontiers in Optics,,,FW1E. 7,2020,Optica Publishing Group
"Mandracchia, Biagio; Hua, Xuanwen; Guo, Changliang; Son, Jeonghwan; Urner, Tara; Jia, Shu; ",Correction of CMOS-related noise in fluorescence microscopy,Frontiers in Optics,,,JM6B. 19,2020,Optica Publishing Group
"Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu; ",Miniaturized optical fluorescence microscopy system for parallel in situ imaging,Frontiers in Optics,,,FW5E. 2,2020,Optica Publishing Group
"Mandracchia, Biagio; Son, Jeonghwan; Jia, Shu; ",Super-resolution optofluidic scanning microscopy,Lab on a Chip,21,3,489-493,2021,Royal Society of Chemistry
"Bianco, V; Mandracchia, B; Bĕhal, J; Barone, D; Memmolo, P; Ferraro, P; ",Artifacts-free Fourier ptychographic microscopy using a misaligned setup,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials V",11786,,126-130,2021,SPIE
"Mandracchia, Biagio; Son, Jeonghwan; Jia, Shu; ",Sub-diffraction-limit optofluidic scanning microscopy,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials V",11786,,26-30,2021,SPIE
"Oleandro, Emilia; Grilli, Simonetta; Rega, Romina; Mugnano, Martina; Bianco, Vittorio; Valentino, Marika; Mandracchia, Biagio; Nazzaro, Filomena; Coppola, Raffaele; Ferraro, Pietro; ","Biospeckle analysis and biofilm electrostatic tests, two useful methods in microbiology",Applied Microbiology,1,3,557-572,2021,MDPI
"Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu; ",A compact open-top light-sheet microscope for Optofluidic imaging,Three-Dimensional and Multidimensional Microscopy: Image Acquisition and Processing XXIX,11966,,40-45,2022,SPIE
"Mandracchia, Biagio; Tadesse, Kidan; Son, Jeonghwan; Jia, Shu; ",Resolution doubling in optofluidics and sample-scanning fluorescence microscopy,Single Molecule Spectroscopy and Superresolution Imaging XV,11967,,1196702,2022,SPIE
"Hua, Xuanwen; Mandracchia, Biagio; Liu, Wenhao; Jia, Shu; ",Volumetric and optofluidic live-cell imaging using high-resolution Fourier light-field microscopy (HR-FLFM),"Imaging, Manipulation, and Analysis of Biomolecules, Cells, and Tissues XX",11964,,124-130,2022,SPIE
"Jia, Shu; Mandracchia, Biagio; ",Microscopy with near-ideal sCMOS camera,,,,,2023,"US Patent 11,854,162"
"Son, Jeonghwan; Mandracchia, Biagio; Trenkle, Aaron D Silva; Kwong, Gabriel A; Jia, Shu; ",Portable light-sheet optofluidic microscopy for 3D fluorescence imaging flow cytometry,Lab on a Chip,23,4,624-630,2023,Royal Society of Chemistry
"Yoon, Kyungduck; Han, Keyi; Tadesse, Kidan; Mandracchia, Biagio; Jia, Shu; ",Simultaneous multicolor multifocal scanning microscopy,ACS photonics,10,9,3035-3041,2023,American Chemical Society
"Mandracchia, Biagio; Liu, Wenhao; Hua, Xuanwen; Forghani, Parvin; Lee, Soojung; Hou, Jessica; Nie, Shuyi; Xu, Chunhui; Jia, Shu; ",Optimal sparsity allows reliable system-aware restoration of fluorescence microscopy images,Science Advances,9,35,eadg9245,2023,American Association for the Advancement of Science
"Tadesse, Kidan; Mandracchia, Biagio; Yoon, Kyungduck; Han, Keyi; Jia, Shu; ",Three-dimensional multifocal scanning microscopy for super-resolution cell and tissue imaging,Optics Express,31,23,38550-38559,2023,Optica Publishing Group
"Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu; ",Multicolor 3D-fluorescence imaging flow cytometry with portable light-sheet optofluidic microscopy,"3D Image Acquisition and Display: Technology, Perception and Applications",,,DTu2A. 3,2023,Optica Publishing Group
"Tadesse, Kidan; Mandracchia, Biagio; Yoon, Kyungduck; Han, Keyi; Jia, Shu; ",3D Multifocal Scanning Microscopy for Super-Resolution Cell and Tissue Imaging,Laser Science,,,JW4A. 30,2023,Optica Publishing Group
"Son, Jeonghwan; Yoon, Kyungduck; Mandracchia, Biagio; Jia, Shu; ",Simultaneous multicolor 3D-fluorescence imaging with portable light-sheet optofluidic microscopy,Laser Science,,,JM4A. 76,2023,Optica Publishing Group
"Hua, Xuanwen; Han, Keyi; Mandracchia, Biagio; Liu, Wenhao; Jia, Shu; ",High-resolution 3D Imaging Flow Cytometry with Fourier Light-Field Microscopy and Deep Learning,Laser Science,,,JW4A. 29,2023,Optica Publishing Group
"Ling, Zhi; Liu, Wenhao; Mandracchia, Biagio; Hou, Jessica; Nie, Shuyi; Jia, Shu; ",Enhanced Volumetric Reconstruction in Fourier Light-Field Microscopy through Denoising-Sparse Decomposition,Frontiers in Optics,,,FTh3D. 4,2023,Optica Publishing Group
"Yoon, Kyungduck; Han, Keyi; Tadesse, Kidan; Mandracchia, Biagio; Jia, Shu; ",Simultaneous multicolor imaging with multifocal scanning microscopy,Frontiers in Optics,,,FM5E. 2,2023,Optica Publishing Group
"Mandracchia, Biagio; Liu, Wenhao; Hua, Xuanwen; Forghani, Parvin; Lee, Soojung; Nie, Shuyi; Xu, Chunhui; Jia, Shu; ",Image restoration for fluorescence microscopy using optimal sparsity and camera modeling,Laser Science,,,JM7A. 119,2023,Optica Publishing Group
"Zheng, Corey; Mandracchia, Biagio; Jia, Shu; ",High-speed CMOS imaging with fiber bundle optical reassignment,Frontiers in Optics,,,FM1C. 5,2023,Optica Publishing Group
"Hua, Xuanwen; Han, Keyi; Mandracchia, Biagio; Radmand, Afsane; Liu, Wenhao; Kim, Hyejin; Yuan, Zhou; Ehrlich, Samuel M; Li, Kaitao; Zheng, Corey; ","Light-field flow cytometry for high-resolution, volumetric and multiparametric 3D single-cell analysis",Nature Communications,15,1,1975,2024,Nature Publishing Group UK London
"Mandracchia, Biagio; Zheng, Corey; Rajendran, Suraj; Liu, Wenhao; Forghani, Parvin; Xu, Chunhui; Jia, Shu; ",High-speed optical imaging with sCMOS pixel reassignment,Nature Communications,15,1,4598,2024,Nature Publishing Group UK London
